Date,Min Delay,Min Gap,Hour,Month,DayFriday,DayMonday,DaySaturday,DaySunday,DayThursday,DayTuesday,DayWednesday
2023-01-04T00:00:00Z,6,9,7,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,7,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,3,6,7,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,8,11,7,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,8,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,9,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,9,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,4,7,9,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,9,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,9,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,4,7,10,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,10,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,11,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,12,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,6,9,12,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,13,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,4,7,13,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,14,17,13,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,13,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,18,21,13,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,13,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,14,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,14,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,3,6,15,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,7,10,15,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,5,8,15,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,16,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,5,8,16,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,3,6,16,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,16,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,16,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,3,6,17,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,17,20,17,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,5,8,17,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,10,13,17,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,27,30,18,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,18,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,24,27,18,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,18,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,19,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,20,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,4,7,20,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,9,12,20,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,4,8,21,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,3,6,21,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,5,10,21,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,6,9,21,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,22,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,8,13,0,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,0,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,6,11,0,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,0,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,0,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,2,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,5,10,12,January,0,0,0,0,0,0,1
2023-01-05T00:00:00Z,0,0,2,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,10,15,9,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,3,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,15,20,16,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,6,4,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,5,10,20,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,4,0,5,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,22,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,6,9,6,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,7,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,5,7,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,8,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,9,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,9,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,6,9,10,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,4,7,11,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,12,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,6,9,12,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,12,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,6,12,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,6,13,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,6,13,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,13,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,13,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,6,14,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,14,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,14,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,3,6,15,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,16,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,4,7,16,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,18,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,18,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,18,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,18,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,4,8,19,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,19,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,6,9,19,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,5,8,20,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,6,9,20,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,21,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,22,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,23,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,4,8,23,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,7,12,23,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,0,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,0,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,5,10,1,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,6,11,1,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,8,January,0,0,0,0,1,0,0
2023-01-05T00:00:00Z,0,0,21,January,0,0,0,0,1,0,0
2023-01-06T00:00:00Z,0,0,2,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,8,10,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,2,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,11,16,11,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,6,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,5,10,14,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,6,9,6,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,8,16,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,6,7,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,22,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,8,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,8,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,8,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,8,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,7,10,9,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,9,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,13,16,10,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,6,10,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,8,11,10,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,6,11,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,11,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,13,16,11,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,13,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,13,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,13,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,6,14,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,14,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,15,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,15,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,6,8,15,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,5,15,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,16,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,16,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,16,20,16,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,3,6,17,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,14,17,17,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,38,40,18,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,8,10,18,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,18,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,18,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,4,6,18,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,19,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,4,7,19,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,9,12,19,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,20,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,20,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,22,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,22,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,7,11,22,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,23,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,23,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,23,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,23,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,0,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,17,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,21,January,1,0,0,0,0,0,0
2023-01-06T00:00:00Z,0,0,22,January,1,0,0,0,0,0,0
2023-01-07T00:00:00Z,0,0,3,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,17,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,5,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,22,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,19,25,6,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,7,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,5,10,9,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,6,12,9,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,9,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,6,12,9,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,10,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,10,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,12,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,13,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,13,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,14,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,4,8,15,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,15,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,16,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,12,16,16,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,17,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,5,9,17,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,4,8,17,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,19,23,17,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,17,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,18,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,19,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,19,24,19,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,19,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,6,11,19,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,19,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,22,27,20,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,6,11,20,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,21,January,0,0,1,0,0,0,0
2023-01-07T00:00:00Z,0,0,21,January,0,0,1,0,0,0,0
